entrez,order,symbol
11676,4,Aldoc
56752,5,Aldh9a1
12183,5,Bpgm
72157,4,Pgm2
72141,6,Adpgk
66925,5,Sdhd
66945,5,Sdha
19139,5,Prps1
394436,4,Ugt1a1
319801,4,Tigar
110119,5,Mpi
22122,8,Tsta3
53418,6,B4galt2
22235,5,Ugdh
14104,5,Fasn
71147,6,Oxsm
14081,5,Acsl1
257633,5,Acsf3
66775,6,Hacd4
70757,6,Hacd2
270076,6,Gcdh
235293,7,Sc5d
18194,6,Nsdhl
66234,5,Msmo1
17117,7,Amacr
170789,7,Acot8
12850,NA,Coq7
69568,6,Vkorc1l1
56448,6,Cyp2d22
57357,5,Srd5a3
11951,NA,Atp5g1
66237,NA,Atp6v1g2
20135,4,Rrm2
22436,5,Xdh
67054,7,Paics
11514,2,Adcy8
171567,3,Nme7
18102,3,Nme1
107569,4,Nt5c3
50773,4,Nt5c
76952,4,Nt5c2
667034,5,Pnp2
105446,5,Gmpr2
23917,4,Impdh1
67464,4,Entpd4
14923,4,Guk1
18160,5,Npr1
27369,5,Dguok
18584,4,Pde8a
238871,4,Pde4d
66588,4,Cmpk1
68556,4,Uckl1
80914,4,Uck2
320685,5,Dctd
21877,4,Tk1
22171,5,Tyms
27053,6,Asns
66514,6,Asrgl1
268860,5,Abat
14431,NA,Gamt
12411,7,Cbs
192166,7,Sardh
56369,NA,Apip
73988,5,4930438A08Rik
12583,7,Cdo1
22117,7,Tst
12035,7,Bcat1
73724,6,Mcee
110821,6,Pcca
71872,4,Aox4
107823,6,Nsd2
226830,6,Smyd2
239122,6,Setdb2
64707,6,Suv39h2
107239,5,Carns1
242669,3,Azin2
19125,NA,Prodh
56454,NA,Aldh18a1
67217,NA,L3hypdh
15186,6,Hdc
107766,NA,Haao
98256,6,Kmo
237940,5,Aoc2
68671,NA,Pcyt2
20768,7,Sephs2
211006,NA,Sepsecs
14854,6,Gss
110175,7,Ggct
103140,4,Gstt3
14866,4,Gstm5
211666,4,Mgst2
56615,4,Mgst1
68563,NA,Dpm3
57170,NA,Dolpp1
17309,NA,Mgat3
56737,NA,Alg2
381903,NA,Alg8
17156,NA,Man1a2
207839,8,Galnt6
215494,NA,Pomgnt2
108902,NA,B4gat1
109785,8,Pgm3
245847,8,Amdhd2
12763,9,Cmah
27029,NA,Sgsh
109685,NA,Hyal3
13350,5,Dgat1
67800,5,Dgat2
67916,4,Plpp3
67216,4,Mboat2
14933,5,Gk
16329,4,Inpp1
114663,3,Impa2
18798,2,Plcb4
18802,3,Plcd4
74055,3,Plce1
240752,3,Pik3c2b
329777,NA,Pigk
19210,4,Ptdss1
99010,3,Lpcat4
225845,3,Plaat3
211429,2,Pla2g4b
217480,3,Dgkb
380921,3,Dgkh
14571,6,Gpd2
16816,4,Lcat
226856,NA,Lpgat1
100163,NA,Pafah2
71519,4,Cyp2u1
56473,3,Fads2
67260,6,Cers4
20598,6,Smpd2
230379,5,Acer2
74442,6,Sgms2
20449,7,St8sia1
