GOID,Term,Ont,N,DE,P.DE,group
GO:0007154,cell communication,BP,601,143,1.37E-19,up
GO:0038023,signaling receptor activity,MF,110,51,3.03E-19,up
GO:0060089,molecular transducer activity,MF,110,51,3.03E-19,up
GO:0023052,signaling,BP,595,141,4.94E-19,up
GO:0007165,signal transduction,BP,539,131,2.37E-18,up
GO:0050896,response to stimulus,BP,881,180,3.22E-18,up
GO:0006793, phosphorus metabolic process,BP,357,100,5.99E-18,up
GO:0006796, phosphate-containing compound metabolic process,BP,352,99,6.93E-18,up
GO:0051716,cellular response to stimulus,BP,730,158,1.28E-17,up
GO:0004888,transmembrane signaling receptor activity,MF,85,42,3.34E-17,up
GO:0010033,response to organic substance,BP,291,86,8.48E-17,up
GO:0044281, small molecule metabolic process,BP,208,69,3.03E-16,up
GO:0032501,multicellular organismal process,BP,688,149,3.19E-16,up
GO:0042221,response to chemical,BP,412,105,1.31E-15,up
GO:0009987,cellular process,BP,1753,270,2.36E-15,up
GO:0044281,small molecule metabolic process,BP,208,59,4.16E-15,down
GO:1901576,organic substance biosynthetic process,BP,608,110,6.77E-13,down
GO:0009058,biosynthetic process,BP,617,111,7.34E-13,down
GO:0044249,cellular biosynthetic process,BP,590,104,3.21E-11,down
GO:0006793,phosphorus metabolic process,BP,357,72,3.55E-10,down
GO:0043436,oxoacid metabolic process,BP,115,35,4.72E-10,down
GO:0006082,organic acid metabolic process,BP,121,36,5.27E-10,down
GO:0008152,metabolic process,BP,1229,168,1.04E-09,down
GO:0044237,cellular metabolic process,BP,1126,158,1.11E-09,down
GO:0019752,carboxylic acid metabolic process,BP,113,34,1.22E-09,down
GO:0071704,organic substance metabolic process,BP,1179,162,3.04E-09,down
GO:0006796,phosphate-containing compound metabolic process,BP,352,69,3.74E-09,down
GO:0003824,catalytic activity,MF,720,113,7.49E-09,down
GO:0019637,organophosphate metabolic process,BP,116,33,1.08E-08,down
GO:0044238,primary metabolic process,BP,1105,152,2.92E-08,down
