geneid_symbol,pvn_A14_log2FC,pvn_L14_log2FC,pvn_A3_log2FC,pvn_L3_log2FC,PVN_14A1,PVN_14A2,PVN_14A3,PVN_14L1,PVN_14L3_b1,PVN_14L4,PVN_3A1_b1,PVN_3A2,PVN_3A3_b1,PVN_3L1_b1,PVN_3L2_b1,PVN_3L3,PVN_naive1,PVN_naive2,PVN_naive3
Gnai3,0.569132729258906,0.101948274678943,0.429287285166682,0.464323528275552,64.029881,84.281454,56.646581,46.317612,57.994949,31.799117,58.114569,61.545726,49.663419,59.543174,56.283884,42.432207,43.157539,61.12053,51.360168
Cdc45,Inf,Inf,Inf,Inf,9.86904,0,6.144209,7.408352,0,2.615691,28.417208,5.115629,1.683133,4.214406,0.15097,2.998583,0,0.639869,0.5448
Narf,-0.2830640461728,-0.00174371718097361,-0.0467146425124789,0.348971543439762,30.097874,32.157521,31.754187,36.578145,43.143208,47.939023,35.455538,35.63372,24.591551,46.644183,29.948715,36.283395,36.622382,29.115047,45.389329
Cav2,-0.934405163675635,-1.30216366731907,-5.69344005027898,-0.640885850585561,5.375146,0,2.243516,4.165661,8.409067,5.940155,0.198508,3.047457,3.109785,6.587921,3.5762,0,10.272455,4.317851,0
Klf6,-0.190073951873347,0.336460883221132,0.466206766206441,-0.0932219805259304,308.385392,635.644194,449.553836,444.218434,541.366923,170.796632,486.019819,618.14063,705.449818,329.798857,384.552663,492.65719,351.812899,445.241163,379.04358
Scmh1,0.265981168412076,-0.188638549046847,0.212049669792255,-0.383088085016866,79.551939,61.247625,29.445208,58.049248,20.113971,63.528954,76.63299,49.330806,41.015388,50.729602,46.915539,114.180245,66.158014,67.709043,69.333154
Cox5a,0.771542759955622,0.584299161085357,0.598732505771822,0.851503453538439,52.521544,56.489212,76.512586,46.128735,68.364299,15.663745,46.592543,65.471455,72.540475,55.514707,66.068131,96.953117,30.766633,35.658527,62.593031
Fer,-0.870186546083708,-0.570768766861158,-0.672481099475102,0.441260903743481,7.083978,4.13207,15.53205,8.717881,24.677874,12.296301,8.124422,11.645135,15.835549,17.581755,15.226017,15.772588,12.948798,13.091734,1.537834
Xpo6,-1.98539039554063,-1.6663403896478,-1.56591190739991,-1.57710346332581,43.631586,147.133304,39.211724,54.430788,114.868334,37.60668,58.354803,61.367931,62.150251,57.903873,63.114249,56.630342,172.767903,48.947677,147.49984
Tfe3,0.263053896533833,-0.277233865792815,-0.111310486061257,0.670487166533367,217.130745,214.066661,145.985202,149.306426,143.274609,179.007973,167.504475,143.12426,247.902623,287.985723,241.53826,229.136667,180.939843,199.534505,120.016571
Brat1,-0.860119223286858,-0.80212344023602,-0.433485394460501,-0.0795032623597538,20.07511,23.879586,19.560074,20.898562,33.059843,17.002048,26.982831,37.976012,32.879211,34.486312,33.939485,30.400205,36.440105,27.979827,27.79891
Gna12,-0.763272295151684,-0.644854036423131,-0.881787626399753,-0.285247307014098,208.191648,219.877021,267.612471,226.001203,234.397225,157.428522,191.772634,251.99555,270.64009,289.97674,316.327036,269.53131,353.371206,283.153813,250.064079
Itgb2l,4.55971553107033,2.56693262665056,6.12120709784504,2.98828981343506,64.453686,10.973772,7.043468,16.194231,26.853464,21.424535,190.240754,92.435147,34.17574,21.6871,5.119371,24.417542,2.732981,2.401738,2.029186
Dlat,-1.82610156902939,-1.70779863911269,-1.88919807622463,-0.504328817676843,9.993486,69.783931,23.818081,10.847502,29.900855,15.89701,9.565839,22.397176,20.742713,24.981025,29.482936,33.090961,35.434667,16.297471,23.957673
Sdhd,1.63207954427766,0.798944062103491,1.34333501104578,1.24937231502354,65.694603,71.564362,41.755676,36.874906,58.751597,45.391038,53.77853,52.465555,43.589298,50.387561,44.655629,37.958061,21.194579,54.416498,57.852739
Fgf6,Inf,Inf,Inf,Inf,1.51776,1.682017,0.780234,1.581097,0,1.78275,0.563671,1.440277,0,0.508324,0,2.207376,0,0.447516,0.949493
Ccnd2,-0.67230905175037,-1.15247136866135,-1.70207241597662,-2.61449357632179,3.41446,0,2.552814,2.447816,0.787961,6.051376,1.67237,2.448539,1.394134,0.888518,0.347824,6.735168,5.441357,2.593626,0.138156
Gpr107,-1.19533016506002,-0.408232989353536,-1.67546844122155,-0.814837579828493,36.01504,136.828027,53.986817,62.147514,40.243281,38.835074,25.819503,40.504345,34.32939,46.883884,63.528636,45.252479,82.473445,30.590675,53.399555
Nalcn,0.984835992055676,0.344162645997159,1.11946247627174,-2.0017384089867,3.899843,3.53895,1.222032,2.501412,0,2.286622,4.281281,1.344153,0,0.492038,0.032241,0.406853,1.970525,0.609535,0
Btbd17,-2.95226607920439,-2.04576701648347,-2.79004340581439,-2.11097176783198,1.482693,0,0.497153,2.779295,11.277332,1.216878,1.659148,0.200813,0.327351,2.656477,2.081227,6.635339,11.475507,1.096939,0
Slfn4,4.51978163452748,4.20267295255665,6.70353203820509,3.80032213899346,14.178914,4.982716,2.033766,11.381087,9.467693,5.176653,64.419499,47.202543,4.480742,8.611208,7.648148,11.320308,0.618092,0.853163,1.207335
Tspan32,1.37338342236689,1.12939039755283,0.947378709601851,0.0116998950066614,20.340007,0,7.18048,17.175203,15.093908,8.64887,15.139478,23.779638,10.735399,7.914865,10.018716,21.54378,7.850937,9.871555,28.427798
Gmpr,-1.27860296734575,-0.836564088455588,-1.22055213883575,-0.796107234454611,30.141573,2.687263,38.348583,40.948017,31.746406,23.899168,31.379134,49.844867,32.758963,42.112556,37.907362,37.244241,73.124643,50.556889,15.866526
Trim25,0.284930269586987,-0.405942348180354,-0.19440251212053,0.0924359660512837,28.802616,48.238868,22.310071,17.842617,23.110997,14.123583,20.660384,18.153655,24.738685,25.204923,26.617806,17.225562,23.640648,18.978233,9.718867
Dgke,0.191128393080648,-0.165770468643777,-0.284561081867875,-0.0770552863784417,4.743123,6.566624,1.882686,3.703626,2.609296,4.056224,3.410889,4.835022,2.813006,3.93852,4.918821,3.79274,4.154598,2.895824,3.639805
Scpep1,-0.352082010847153,-0.549251896770183,-1.26455345561861,0.0277134498192983,61.900275,70.673342,85.176035,53.993133,65.171201,37.412679,32.886019,77.804971,74.642346,80.541999,79.750042,74.300308,79.009593,73.991826,73.394277
Mnt,-1.47972538200805,-1.36149909467759,-1.11025307606058,-0.851768607556481,32.95801,61.905335,48.447215,35.772611,30.191015,42.84043,42.577801,48.740619,64.754435,50.932478,71.115258,56.875789,91.918453,46.836839,18.700646
Itgb2,-0.263861199103541,-0.304850064136612,0.0963287270742467,-0.0920477960279345,325.830738,393.70262,290.567364,316.703727,403.678093,203.270952,418.234663,481.829402,380.773971,367.039699,430.04617,348.485135,391.221026,339.859417,331.109548
Hddc2,-1.62574823428558,-2.02315426684387,-Inf,-0.129318425462182,5.419838,0,6.15132,4.114861,38.586962,6.682657,0,8.736365,4.447455,15.291728,3.998383,22.798282,16.725738,5.926059,0
Arvcf,-0.405877025078493,0.282196608175717,0.215399287950559,-0.29377473444635,43.361175,117.476589,54.768315,69.860525,124.538727,41.699443,66.699695,65.987534,53.274102,46.864846,58.580631,78.58299,57.448964,79.397493,35.961865
