order_0,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12
70839,14677,18706,15251,11676,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18746,18597,235339,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18746,13808,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18746,13806,12183,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18605,72157,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,11430,60525,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,11430,68738,NA,NA,NA,NA,NA,NA
70839,14677,18795,17330,NA,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,74147,270076,78920,NA,NA,NA,NA,NA
70839,14677,104110,18746,18597,235339,104112,NA,NA,NA,NA,NA,NA
70839,14677,104110,18746,18597,235339,104112,11428,NA,NA,NA,NA,NA
70839,14677,104110,18746,18597,235339,104112,11429,NA,NA,NA,NA,NA
70839,14677,104110,18746,18597,235339,12974,NA,NA,NA,NA,NA,NA
70839,14677,104110,18746,18597,235339,71832,NA,NA,NA,NA,NA,NA
70839,14677,18706,56484,20655,66945,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18605,66681,232449,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18605,66681,110639,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18605,66681,19139,NA,NA,NA,NA,NA,NA,NA
70839,14677,18706,56717,19016,14625,11677,NA,NA,NA,NA,NA,NA
70839,14677,18706,56717,19016,14625,11997,NA,NA,NA,NA,NA,NA
70839,14677,18706,56717,19016,14625,14187,NA,NA,NA,NA,NA,NA
70839,14677,18706,56717,19016,14625,67861,NA,NA,NA,NA,NA,NA
70839,14677,18706,56717,19016,14625,11677,20322,67880,NA,NA,NA,NA
70839,14677,18783,13106,394432,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,18783,13106,394436,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,18783,13106,13849,71755,NA,NA,NA,NA,NA,NA,NA
70839,14677,18706,56717,19016,14625,11677,20322,NA,NA,NA,NA,NA
70839,14677,18706,56717,19016,14625,11677,20322,16548,NA,NA,NA,NA
70839,14677,104110,18747,18639,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,18706,11651,18640,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,18639,110119,NA,NA,NA,NA,NA,NA,NA
70839,14677,18706,15251,15275,29858,331026,218138,22122,NA,NA,NA,NA
70839,14677,18706,15251,15275,319625,11605,NA,NA,NA,NA,NA,NA
70839,14677,18706,15251,15275,226413,53418,NA,NA,NA,NA,NA,NA
70839,14677,18795,114663,56727,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,18706,18762,20787,14104,NA,NA,NA,NA,NA,NA,NA
70839,14677,18706,18762,20787,14104,26922,99035,NA,NA,NA,NA,NA
70839,14677,104110,18747,13074,14979,71147,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,14081,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,216739,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,328845,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,433256,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,50790,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,74205,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,78625,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,94180,NA,NA,NA,NA,NA,NA,NA
70839,14677,100503710,105787,107476,257633,NA,NA,NA,NA,NA,NA,NA
70839,14677,18706,18762,20787,14104,26922,NA,NA,NA,NA,NA,NA
70839,14677,18706,18762,20787,14104,234309,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,13074,14979,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,13074,14979,109729085,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,cpd:C00638,NA,NA,NA,NA,NA,NA,NA
70839,14677,18706,18762,20787,14104,26922,19063,NA,NA,NA,NA,NA
70839,14677,18706,18762,20787,14104,26922,54397,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,74147,93747,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,74147,97212,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,11364,231086,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,11364,52538,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,74147,15107,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,cpd:C00638,cpd:C02843,NA,NA,NA,NA,NA,NA
70839,14677,18783,13106,100041375,56348,30963,106529,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,74147,11409,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,74147,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,11364,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,74147,110446,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,74147,110460,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,74147,224530,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,113868,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,235674,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,74147,270076,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,74147,11370,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,12896,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,15360,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,208715,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,15360,15356,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,15360,208982,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,15360,15356,69772,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,15360,15356,71911,NA,NA,NA,NA,NA
70839,14677,104110,18747,15490,74754,13360,235293,NA,NA,NA,NA,NA
70839,14677,104110,18747,15490,13595,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,15490,74754,13360,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,15490,74754,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,15490,74754,13121,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,15490,74754,73166,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,15490,74754,98386,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,15490,66234,18194,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,15490,66234,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,15490,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,18706,56717,14245,12613,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,15490,74754,13360,16889,NA,NA,NA,NA,NA
70839,14677,104110,18747,15490,74754,13360,20652,NA,NA,NA,NA,NA
70839,14677,104110,18747,15490,74754,13360,223920,NA,NA,NA,NA,NA
70839,14677,104110,18747,13115,244209,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,13115,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,13074,13079,13123,NA,NA,NA,NA,NA,NA
70839,14677,18706,56717,19016,104086,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,20280,26459,17117,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,93732,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,93732,15488,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,20280,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,20280,26459,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,20280,12012,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,20280,209186,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,20280,230161,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,13124,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,20280,12012,170789,NA,NA,NA,NA,NA
70839,14677,104110,18747,15485,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,15486,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,13074,27400,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,100043456,20905,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,100043456,54200,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,13074,13070,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,13074,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,13074,13079,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,100043456,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,100043461,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,15492,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,15493,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,15494,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,15495,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,15496,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,15497,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,100043456,20905,13101,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,100043456,20905,13105,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,100043456,20905,223706,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,100043456,20905,380997,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,100043456,20905,545123,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,100043456,20905,56448,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,100043456,20905,71754,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,100043456,20905,76279,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,13074,57357,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,13074,78925,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,13074,94224,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,13074,208665,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,13074,105349,NA,NA,NA,NA,NA,NA,NA
70839,14677,18783,13106,15483,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,13075,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,15490,13078,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,15490,20860,NA,NA,NA,NA,NA,NA,NA
70839,14677,26413,17869,14660,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,26413,17869,14660,14645,NA,NA,NA,NA,NA,NA,NA
70839,14677,26413,17869,14660,227231,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,12495,20133,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18605,66681,110639,231327,NA,NA,NA,NA,NA,NA
70839,14677,104110,23984,NA,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,11514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18102,NA,NA,NA,NA,NA,NA,NA,NA,NA
