,group,symbol
1,PVN_3L_down,
2,PVN_3A_down,
3,PVN_3L_up,
4,PVN_3A_up,Csf1
5,PVN_3A_up,Mmp9
6,PVN_3A_up,Retnlg
7,PVN_3A_up,Anxa1
8,PVN_3A_up,Capn1
9,PVN_3A_up,Adam8
10,PVN_3A_up,Ccr1
11,PVN_3A_up,Cxcr2
12,PVN_3A_up,Sell
13,PVN_3A_up,Ptpn22
14,PVN_3A_up,Bst1
15,PVN_3A_up,Rac2
16,PVN_3A_up,Ripor2
17,PVN_3A_up,Thbs1
18,PVN_3A_up,Trem3
19,PVN_3A_up,Trem1
20,PVN_3A_up,Il1f9
21,PVN_3A_up,Cd24a
22,PVN_3A_up,Lgals3
23,PVN_3A_up,Spn
24,PVN_3A_up,Cd177
25,PVN_3A_up,Fpr2
26,PVN_3A_up,S100a8
27,PVN_3A_up,S100a9
28,PVN_3A_up,Cnr2
29,PVN_3A_up,Cxcr4
30,PVN_3A_up,Cd44
31,PVN_3A_up,Itgal
32,PVN_3A_up,Rara
33,PVN_3A_up,Hlx
34,PVN_3A_up,Cebpb
35,PVN_3A_up,Flot2
36,PVN_3A_up,Mmp8
37,PVN_3A_up,Acod1
38,PVN_3A_up,C3
39,PVN_3A_up,Il18rap
40,PVN_3A_up,Plscr1
41,PVN_3A_up,Lrrk2
42,PVN_3A_up,Aoah
43,PVN_3A_up,Il1r2
44,PVN_3A_up,Pglyrp1
45,PVN_3A_up,Klf5
46,PVN_3A_up,Cybb
47,PVN_3A_up,Notch4
48,PVN_3A_up,E2f2
49,PVN_3A_up,Xdh
50,PVN_3A_up,Sema4a
51,PVN_3A_up,Ngp
52,PVN_3A_up,Lrg1
53,PVN_3A_up,Camp
54,PVN_3A_up,Klf2
55,PVN_3A_up,Chil1
56,PVN_3A_up,Stx11
57,PVN_3A_up,Cd300lf
58,PVN_3A_up,Pirb
59,PVN_3A_up,Pilrb1
60,PVN_3A_up,Mapk13
61,PVN_3A_up,Mgst1
62,PVN_3A_up,Glrx
63,PVN_3A_up,Aldh3b1
64,PVN_3A_up,Prdx5
65,PVN_3A_up,Pde8a
66,PVN_3A_up,Lcn2
67,PVN_3A_up,Txn1
68,PVN_3A_up,Gsr
69,PVN_3A_up,Slc25a24
70,PVN_3A_up,Pdgfa
71,PVN_3A_up,Ezr
72,PVN_3A_up,Gsn
73,PVN_3A_up,Clec4e
74,PVN_3A_up,Pnkp
75,PVN_3A_up,Hp
76,PVN_3A_up,Slc34a1
77,PVN_3A_up,Anxa11
78,PVN_3A_up,Iqgap1
79,PVN_3A_up,Cpne2
80,PVN_3A_up,Jund
81,PVN_3A_up,Ltf
82,PVN_3A_up,Tspo
83,PVN_3A_up,Emilin2
84,PVN_3A_up,Flna
85,PVN_3A_up,Dock5
86,PVN_3A_up,B430306N03Rik
87,PVN_3A_up,Serpinb1a
88,PVN_3A_up,Ifnlr1
89,PVN_3A_up,Slpi
90,PVN_3A_up,Igf2r
91,PVN_3A_up,Ifitm3
92,PVN_3A_up,Anxa2
93,PVN_3A_up,Ifitm6
94,PVN_3A_up,Ifitm2
95,PVN_3A_up,Chac1
96,PVN_3A_up,Gapt
97,PVN_3A_up,Cyfip2
98,PVN_3A_up,Pi16
99,PVN_3A_up,Itih5
100,PVN_3A_up,Plaur
101,PVN_3A_up,Sorl1
102,PVN_3A_up,Hnrnpa0
103,PVN_3A_up,Vim
104,PVN_3A_up,Wfdc21
105,PVN_3A_up,Tysnd1
106,PVN_3A_up,Aph1b
107,PVN_3A_up,Arf6
108,PVN_3A_up,1810037I17Rik
109,PVN_3A_up,Ica1
110,PVN_3A_up,Dgat1
111,PVN_3A_up,Sik1
112,PVN_3A_up,Gpat3
113,PVN_3A_up,Dgat2
114,PVN_3A_up,Fxyd5
115,PVN_3A_up,Kcnab2
116,PVN_3A_up,Myo5a
117,PVN_3A_up,Commd1
118,PVN_3A_up,Cracr2a
119,PVN_3A_up,Plxnc1
120,PVN_3A_up,Abca13
121,PVN_3A_up,Inhba
122,PVN_3A_up,Apobr
123,PVN_3A_up,Atp8b4
